Câu hỏi,Đáp án chuẩn,AI Trả lời,Điểm EM (0-1),Điểm SIM (0-1),Điểm LLM (0-1),ĐIỂM TỔNG HỢP (Final Score)
"Tôi và chồng đang có những bất đồng lớn trong cuộc sống, không còn tình cảm nữa. Chúng tôi muốn ly hôn, nhưng tôi lo lắng về việc chia tài sản. Li sự việc này có vi phạm điều khoản nào của luật Hôn nhân và Gia đình?",nan,Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.802,0.5,0.471
Tôi và chồng đang có những bất đồng lớn về việc chăm sóc con cái. Tôi cảm thấy mình không thể tiếp tục cuộc sống hôn nhân này vì không còn sự đồng thuận và chia sẻ trách nhiệm. Liệu tôi có quyền yêu cầu ly hôn dựa trên những lý do này?,"Dựa trên Điều 3 của Luật Hôn nhân và Gia đình, mục đích của hôn nhân là xây dựng gia đình ấm no, tiến bộ, hạnh phúc, trong đó các thành viên có nghĩa vụ tôn trọng, quan tâm, chăm sóc, giúp đỡ nhau. Tuy nhiên, luật không quy định rõ ràng về điều kiện để ly hôn dựa trên bất đồng trong việc chăm sóc con cái. Ly hôn thường được thực hiện khi các bên không còn khả năng thỏa thuận và hợp tác để giải quyết các vấn đề trong mối quan hệ hôn nhân.  Để được ly hôn, bạn cần chứng minh có những căn cứ pháp lý theo quy định của luật, ví dụ như hành vi bạo lực, ngoại tình, hoặc không thực hiện các nghĩa vụ của mình đối với gia đình. Bạn nên tìm kiếm tư vấn pháp lý cụ thể để được hướng dẫn chi tiết về các bước cần thực hiện và các chứng cứ cần thu thập.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.015,0.758,0.5,0.458
"Tôi đã đăng ký kết hôn với chồng nhưng sau đó phát hiện ra chồng tôi có người khác. Theo luật, tôi có quyền gì để bảo vệ quyền lợi của mình?",nan,Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.802,0.5,0.471
"Tôi và chồng đang tranh cãi về việc nên cho con đến trường nào để học, nhưng tôi không muốn ly hôn. Chồng tôi thì muốn chuyển con sang một trường khác, tôi lại lo lắng con sẽ mất kết nối với bạn bè. Việc chồng tôi yêu cầu như vậy có cấu thành hành vi cưỡng ép kết hôn không?","Theo quy định tại Điều 9 của Luật Hôn nhân và Gia đình, cưỡng ép kết hôn, ly hôn được định nghĩa là việc đe dọa, uy hiếp tinh thần, hành hạ, ngược đãi, yêu sách của cải hoặc hành vi khác để buộc người khác phải kết hôn hoặc ly hôn trái với ý muốn của họ. Trong trường hợp này, yêu cầu của chồng bạn có thể cấu thành hành vi cưỡng ép kết hôn nếu nó gây áp lực tinh thần, khiến bạn cảm thấy không tự do lựa chọn và buộc phải thực hiện điều mà bạn không mong muốn. Tuy nhiên, để xác định chính xác, cần xem xét thêm các yếu tố như mức độ áp lực, sự ràng buộc và tác động của yêu cầu đó lên cuộc sống của bạn. Việc chồng bạn yêu cầu con bạn chuyển sang một trường khác có thể được hiểu là một hình thức tác động, nhưng chưa đủ yếu tố để khẳng định là cưỡng ép kết hôn. Để được tư vấn cụ thể, bạn nên tìm đến luật sư để được đánh giá và hướng dẫn chi tiết.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.765,0.5,0.456
"Tôi và chồng đang có những bất đồng lớn về việc quản lý tài chính gia đình, tôi liên tục đòi hỏi anh phải mua tặng tôi những món đồ đắt tiền, nếu không anh sẽ không hợp tác. Điều này có cấu thành 'yêu sách chiếm đoạt tài sản' trong hôn nhân theo luật định không?","Theo quy định tại Điều 12 của Luật Hôn nhân và Gia đình, 'yêu sách chiếm đoạt tài sản' trong hôn nhân được định nghĩa là việc đòi hỏi về vật chất một cách quá đáng và coi đó là điều kiện để kết hôn nhằm cản trở việc kết hôn tự nguyện của nam, nữ.  Hành vi của bạn, liên tục đòi hỏi chồng mua tặng đồ đắt tiền như một điều kiện để hợp tác, có thể cấu thành yêu sách chiếm đoạt tài sản, gây ảnh hưởng đến quyền tự do, tự quyết của anh ấy trong việc kết hôn và quản lý tài chính gia đình.  Để giải quyết tình huống này, bạn nên trao đổi thẳng thắn với chồng về những lo ngại của mình và tìm kiếm giải pháp thỏa đáng, đảm bảo sự bình đẳng và tôn trọng lẫn nhau trong mối quan hệ vợ chồng.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.016,0.769,0.5,0.463
"Tôi đang gặp tranh chấp với anh rể về quyền nuôi dưỡng cháu trai. Anh rể khẳng định mình là người thân thích theo định nghĩa của pháp luật, vậy anh rể có quyền đòi hỏi trách nhiệm nuôi dưỡng cháu trai không?","Theo quy định tại khoản 19 Điều 38 Bộ luật Dân sự, ‘Người thân thích là người có quan hệ hôn nhân, nuôi dưỡng, người có cùng dòng máu về trực hệ và người có họ trong phạm vi ba đời.’ Trong trường hợp của bạn, anh rể của bạn có thể được coi là ‘người thân thích’ theo định nghĩa này vì anh rể của bạn có quan hệ hôn nhân (hoặc đã từng có quan hệ hôn nhân) với vợ/chồng bạn và có thể có quan hệ huyết thống hoặc họ hàng trong phạm vi ba đời. Do đó, anh rể của bạn có quyền yêu cầu Tòa án xem xét và ra quyết định về quyền nuôi dưỡng cháu trai, tùy thuộc vào lợi ích tốt nhất của đứa trẻ và các yếu tố khác được quy định trong pháp luật. Việc xác định chính xác quan hệ huyết thống và họ hàng trong phạm vi ba đời sẽ là yếu tố then chốt để Tòa án đánh giá và có quyết định phù hợp.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.034,0.769,0.5,0.468
"Tôi đang có vợ, vợ tôi không thể mang thai mặc dù đã thử tất cả các phương pháp hỗ trợ sinh sản. Chồng tôi muốn tôi mang thai hộ cho anh ta, tôi có quyền từ chối không?","Theo Điều 22 của Luật Hôn nhân và Gia đình, mang thai hộ vì mục đích thương mại là việc một người phụ nữ tự nguyện, không vì mục đích thương mại giúp mang thai cho cặp vợ chồng mà người vợ không thể mang thai và sinh con ngay cả khi áp dụng kỹ thuật hỗ trợ sinh sản, bằng việc lấy noãn của người vợ và tinh trùng của người chồng để thụ tinh trong ống nghiệm, sau đó cấy vào tử cung của người nữ tự nguyện mang thai để người này mang thai và sinh con.  Trong trường hợp của bạn, việc chồng bạn muốn bạn mang thai hộ cho anh ta là một hình thức mang thai hộ vì mục đích thương mại, vì vậy bạn hoàn toàn có quyền từ chối. Quyền từ chối này được bảo vệ bởi quy định về sự tự nguyện của người phụ nữ trong việc mang thai hộ.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.019,0.77,0.5,0.464
"Tôi đang có một người chồng là công dân Việt Nam, nhưng anh ấy đang định cư ở nước ngoài. Chúng tôi có một con còn là công dân Việt Nam. Việc chúng tôi xác định quan hệ hôn nhân và gia đình theo pháp luật Việt Nam sẽ dựa trên những yếu tố nào?","Theo Điều 25 của Luật Hôn nhân và Gia đình, quan hệ hôn nhân và gia đình có yếu tố nước ngoài được định nghĩa là quan hệ hôn nhân và gia đình mà ít nhất một bên tham gia là người nước ngoài, người Việt Nam định cư ở nước ngoài, hoặc quan hệ hôn nhân và gia đình giữa các bên tham gia là công dân Việt Nam nhưng căn cứ để xác lập, thay đổi, chấm dứt quan hệ đó theo pháp luật nước ngoài.  Do đó, trong trường hợp của bạn, việc xác định quan hệ hôn nhân và gia đình sẽ dựa trên việc anh ấy là người nước ngoài/Việt Nam định cư ở nước ngoài và con của bạn là công dân Việt Nam, đồng thời tuân theo các quy định của pháp luật nước ngoài nếu có.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.023,0.771,0.5,0.465
"Tôi và chồng đang gặp nhiều tranh cãi về tài chính, tôi muốn ly hôn. Việc vợ chồng có thể ly hôn khi có những tranh chấp tài chính như vậy không?","Theo Điều 4 Luật Hôn nhân và Gia đình, nhà nước có chính sách, biện pháp bảo hộ hôn nhân và gia đình, tạo điều kiện cho vợ chồng xây dựng gia đình ấm no, tiến bộ, hạnh phúc và thực hiện đầy đủ chức năng của mình. Việc vợ chồng tranh chấp tài chính là một trong những nguyên nhân phổ biến dẫn đến ly hôn. Luật Hôn nhân và Gia đình không cấm ly hôn dựa trên những tranh chấp tài chính giữa vợ chồng. Tuy nhiên, để ly hôn thành công, các bên cần chứng minh được sự bất khả thi của việc chung sống cùng nhau, và trong trường hợp của bạn, việc tranh chấp tài chính kéo dài có thể là một bằng chứng cho thấy sự bất khả thi đó.  Bạn nên tìm kiếm tư vấn pháp lý chuyên nghiệp để được hướng dẫn cụ thể về các thủ tục và chứng cứ cần thiết để ly hôn.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.768,0.5,0.457
Tôi và chồng đang có nhiều bất đồng trong cuộc sống và tôi đang cân nhắc việc ly hôn. Chồng tôi không đồng ý và bảo rằng chúng tôi cần cố gắng hết sức để sửa chữa mọi việc. Việc ly hôn có hợp pháp trong trường hợp này không?,"Theo Điều 5 khoản 1 của Luật Hôn nhân và Gia đình, quan hệ hôn nhân và gia đình được xác lập, thực hiện theo quy định của Luật này được tôn trọng và được pháp luật bảo vệ. Tuy nhiên, việc ly hôn vẫn là một lựa chọn khả thi nếu các bên đã cố gắng hết sức để giải quyết mâu thuẫn và không đạt được thỏa thuận. Trường hợp các bên có bất đồng sâu sắc và không thể hòa giải được, tòa án có quyền xét xử và đưa ra phán quyết ly hôn. Việc chồng bạn không đồng ý không có nghĩa là việc ly hôn là bất hợp pháp. Quyền tự quyết của các bên trong quan hệ hôn nhân và gia đình được pháp luật bảo vệ, bao gồm cả quyền ly hôn nếu các bên không còn khả năng hoặc muốn tiếp tục chung sống. Bạn có quyền yêu cầu tòa án xem xét và đưa ra phán quyết phù hợp với hoàn cảnh của hai bên. ",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.017,0.77,0.5,0.463
